Nested Sampling Global Log-Evidence           :   -0.135467808739590208E+02  +/-    0.109741864465334918E+00
Nested Importance Sampling Global Log-Evidence:   -0.137372797612708855E+02  +/-    0.113943675189238734E-01

Dim No.       Mean        Sigma
   1    0.106703685139192025E+00    0.128710383327708625E-01
   2    0.705901522664369896E+00    0.128334924106654646E+00
   3    0.227235134665417678E-01    0.200830502300922229E-02
   4    0.964829164304216391E+00    0.429734480283238546E-02
   5    0.710901639850726075E+00    0.497468690895240054E-01
   6    0.264368366772055330E+00    0.605095627769269423E-01
   7    0.750732653073856948E+00    0.517837327260005365E-01
   8    0.103567476948293424E+01    0.768297429034417944E-03
   9    0.104089763238022681E+01    0.308323329434711656E-03
  10    0.304492039071172638E+01    0.144189471762393058E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.125985983196320372E+00
   2    0.869647883407915767E+00
   3    0.259800846762464829E-01
   4    0.965009332599559677E+00
   5    0.665035045482883058E+00
   6    0.345059912803046376E+00
   7    0.810338759322332125E+00
   8    0.103539957066310140E+01
   9    0.104091115788735111E+01
  10    0.304539015638476762E+01

MAP Parameters
Dim No.        Parameter
   1    0.127138238882805954E+00
   2    0.915795590392933234E+00
   3    0.240927994458205730E-01
   4    0.968275468995630550E+00
   5    0.646205288054948590E+00
   6    0.363702070890175699E+00
   7    0.831218746199054559E+00
   8    0.103609658904300983E+01
   9    0.104104281091808737E+01
  10    0.306822222312917736E+01
