Nested Sampling Global Log-Evidence           :   -0.138288248701552192E+03  +/-    0.847165165782502311E-01
Nested Importance Sampling Global Log-Evidence:   -0.141743089041611171E+03  +/-    0.513416448972988659E-01

Dim No.       Mean        Sigma
   1    0.999142331500340319E-01    0.243742374313915128E-01
   2    0.733480748771565549E+00    0.882592500549562453E-01
   3    0.225949443073301566E-01    0.186945983660847300E-02
   4    0.957871858344878424E+00    0.665186719330823351E-01
   5    0.728845727774247165E+00    0.471958760419371529E-01
   6    0.115206271406710054E+00    0.362245994013208825E-01
   7    0.697895531703855876E+00    0.312386114479740740E+00
   8    0.225309233638113920E-01    0.187164270787493073E-02
   9    0.968790230547609599E+00    0.697525359571389419E-01
  10    0.740291556921735427E+00    0.466808834145124724E-01
  11    0.351834429010639549E+00    0.312187449824721297E+00
  12    0.256713497242597510E+01    0.288994929479818086E+00
  13   -0.255398964103717485E+00    0.889565705495377723E+00
  14   -0.682715921313129415E+00    0.831614133649010823E+00
  15    0.185197434935366045E+01    0.794720946161057262E+00
  16    0.164786161931531705E+01    0.861282742171784688E+00
  17   -0.151927886404566403E+01    0.861071167228856682E+00
  18    0.328965329101016835E-09    0.673809289369850172E-07
  19    0.234739111523597499E+00    0.559586251710669155E-01
  20    0.842339500022263876E+00    0.113700052519213238E+00
  21    0.252559059356364857E+00    0.620096155227805521E-01
  22    0.775138010835416225E+00    0.358232013818197137E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.952438537732148982E-01
   2    0.685811977009305740E+00
   3    0.204577408779394142E-01
   4    0.994795697079710273E+00
   5    0.641566198131431786E+00
   6    0.157270047663650020E+00
   7    0.830823423308389097E+00
   8    0.224062921442337686E-01
   9    0.941689679712643390E+00
  10    0.810289907582726121E+00
  11    0.738092858000796603E+00
  12    0.303637461246528817E+01
  13   -0.751427498820352646E+00
  14   -0.337888942206315823E+01
  15    0.392446323168308187E+01
  16    0.364224097292366222E+01
  17   -0.149514355127089615E+01
  18   -0.156530856581225453E-06
  19    0.282662048540601007E+00
  20    0.706643090133450391E+00
  21    0.274640249591645846E+00
  22    0.868646923892110401E+00

MAP Parameters
Dim No.        Parameter
   1    0.790760871841188484E-01
   2    0.763912686825450216E+00
   3    0.199300367843910434E-01
   4    0.954108282251868278E+00
   5    0.652669798388858746E+00
   6    0.962551775835631673E-01
   7    0.821108059640922816E+00
   8    0.201223456277970156E-01
   9    0.948993528066062519E+00
  10    0.783514868226665273E+00
  11   -0.190092181983243513E+00
  12    0.275858110547649460E+01
  13    0.963669899731857682E+00
  14    0.126415492152294529E+00
  15    0.157951995077034502E+01
  16    0.121360192167864955E+01
  17   -0.195466896165017889E+00
  18    0.303115920213705579E-07
  19    0.233932952598200850E+00
  20    0.865156034007356634E+00
  21    0.190621449130825238E+00
  22    0.103030648968659899E+01
