Nested Sampling Global Log-Evidence           :   -0.831138941755499161E+02  +/-    0.752105628744302035E-01
Nested Importance Sampling Global Log-Evidence:   -0.847116460895199594E+02  +/-    0.110537255894198397E+00

Dim No.       Mean        Sigma
   1    0.153435937085328045E+00    0.470448495477013284E-01
   2    0.750645522083934535E+00    0.266183907955203046E-01
   3    0.225696535650618813E-01    0.191988674120084179E-02
   4    0.973074350139246369E+00    0.677564078965426780E-01
   5    0.728700739121147412E+00    0.478643246802847935E-01
   6    0.817786782021447944E+00    0.346283984618422302E+00
   7    0.266897152143134520E+01    0.290094274306459121E+00
   8   -0.151059489045783507E+00    0.915706878433155125E+00
   9   -0.856161334195608137E+00    0.893680757769776180E+00
  10    0.148998243563249222E+01    0.848706905606646522E+00
  11    0.176118803409782831E+01    0.909731216771345830E+00
  12   -0.160351136838235031E+01    0.903051822600342557E+00
  13    0.334477213015931085E+00    0.923737262903188694E-01
  14    0.734739245473533642E+00    0.123434159933657556E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.162486840523492049E+00
   2    0.769288242909649700E+00
   3    0.228614259815375052E-01
   4    0.912238880353603343E+00
   5    0.761981049455011550E+00
   6    0.116775835855199439E+01
   7    0.293342693937337051E+01
   8   -0.130116949859583908E+01
   9   -0.373882163376734367E+01
  10    0.234069344375676502E+01
  11    0.464332186755403242E+01
  12   -0.237317625588328074E+01
  13    0.320336822256584941E+00
  14    0.744694204206966304E+00

MAP Parameters
Dim No.        Parameter
   1    0.881060394482613973E-01
   2    0.792193100252704840E+00
   3    0.200328853665894882E-01
   4    0.104693194248314825E+01
   5    0.771735353333869778E+00
   6    0.540581492242623085E+00
   7    0.277305907644204597E+01
   8   -0.135428714357079760E+00
   9   -0.143233316651718234E+01
  10    0.122394601607232945E+01
  11    0.228970780059872192E+01
  12   -0.164173930430323312E+01
  13    0.182652021163093703E+00
  14    0.101552591694307237E+01
