Nested Sampling Global Log-Evidence           :   -0.942786201839108884E+02  +/-    0.124448356731080539E+00
Nested Importance Sampling Global Log-Evidence:   -0.975668060298994817E+02  +/-    0.117776238537178238E+00

Dim No.       Mean        Sigma
   1    0.127026527837198394E+00    0.191993356643893574E-01
   2    0.827768000052537034E+00    0.131281247292014513E+00
   3    0.225691715653280438E-01    0.192407047250128891E-02
   4    0.965475468277655957E+00    0.407120968114926731E-02
   5    0.731128350127073112E+00    0.495235839497946972E-01
   6    0.109456368164556797E+00    0.103519377762252788E-01
   7    0.700928926549769016E+00    0.328186564720246265E+00
   8    0.225232854175136006E-01    0.188001712064965335E-02
   9    0.969503158901857787E+00    0.715369859180352285E-01
  10    0.714889391092816018E+00    0.423338178667222106E-01
  11    0.811924246426644403E+00    0.368338012932283632E+00
  12    0.262426126097664403E+01    0.301251766804799370E+00
  13   -0.182173552488883478E+00    0.945778091115457853E+00
  14   -0.951724659965648812E+00    0.892908563183433923E+00
  15    0.145256907736558660E+01    0.857050314903445076E+00
  16    0.179875620863056151E+01    0.908447059091118558E+00
  17   -0.156582573205523823E+01    0.927053028692429448E+00
  18    0.284221054169781884E+00    0.495201070407338545E-01
  19    0.850501762872671763E+00    0.822397420265384843E-01
  20    0.264256622180406853E+00    0.493704244538718043E-01
  21    0.756578229406640657E+00    0.362894468692813776E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.111845299728112302E+00
   2    0.776938748663891676E+00
   3    0.212379545536345131E-01
   4    0.967210099766880216E+00
   5    0.671403897979876207E+00
   6    0.113544274042844895E+00
   7    0.979347022585638438E+00
   8    0.210514462020824980E-01
   9    0.996087811950925661E+00
  10    0.682913410956438094E+00
  11    0.144341128549647912E+01
  12    0.291361923189888428E+01
  13   -0.276215685294926505E+01
  14   -0.367874288513594827E+01
  15    0.114112611116661933E+01
  16    0.205781497560637217E+01
  17   -0.182117219081958170E+01
  18    0.296655669285363244E+00
  19    0.781418042714648431E+00
  20    0.289983586785591330E+00
  21    0.996280451973849956E+00

MAP Parameters
Dim No.        Parameter
   1    0.109425078420939154E+00
   2    0.768186536686256471E+00
   3    0.235731011730767326E-01
   4    0.960052613769795116E+00
   5    0.657219943749746571E+00
   6    0.112600365671036873E+00
   7    0.117841160652666338E+00
   8    0.203329960251349660E-01
   9    0.920703345629218961E+00
  10    0.680108736717274898E+00
  11    0.366975200667749135E+00
  12    0.288240201568937904E+01
  13    0.140572437466418870E+00
  14    0.281063836363649011E+00
  15    0.252755362082631052E+01
  16    0.165995254611040988E+01
  17   -0.159855193794011585E+01
  18    0.309401577648184156E+00
  19    0.756522437398575831E+00
  20    0.288786306026647066E+00
  21    0.120123505328590938E+00
