Nested Sampling Global Log-Evidence           :   -0.943117434435650352E+02  +/-    0.126094088195628617E+00
Nested Importance Sampling Global Log-Evidence:   -0.967489936027320567E+02  +/-    0.250172766145724187E-01

Dim No.       Mean        Sigma
   1    0.112770432389110831E+00    0.249083608630576393E-02
   2    0.767973949311082760E+00    0.160761090337449564E-01
   3    0.226999760447497562E-01    0.196982258732731914E-02
   4    0.964878078204527423E+00    0.411387839761639257E-02
   5    0.683790680825846486E+00    0.101810277841517857E-01
   6    0.836029254522526966E+00    0.357521029212855168E+00
   7    0.269011590740456796E+01    0.296709729139852052E+00
   8   -0.181588760459951343E+00    0.968108694113048895E+00
   9   -0.973215980588836627E+00    0.899123279782450879E+00
  10    0.147887058158597196E+01    0.883145020826118343E+00
  11    0.178981146278485270E+01    0.951726154861708640E+00
  12   -0.158281648314802492E+01    0.956445036629174017E+00
  13    0.291160939519021000E+00    0.850905480194423004E-02
  14    0.779687753494752944E+00    0.710308318754456196E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.114772453550323977E+00
   2    0.773786443119519052E+00
   3    0.245340701114364797E-01
   4    0.967875546778691920E+00
   5    0.689970453536836947E+00
   6    0.129705962985741152E+01
   7    0.262153844699335892E+01
   8   -0.193307281085039606E+01
   9   -0.362186755722225051E+01
  10    0.173318339571422797E+01
  11    0.224548775393239097E+01
  12   -0.190186092574684507E+01
  13    0.293977412262347582E+00
  14    0.781786705822810624E+00

MAP Parameters
Dim No.        Parameter
   1    0.112649402687390612E+00
   2    0.787320945652061344E+00
   3    0.212373347214010258E-01
   4    0.961237557611185567E+00
   5    0.670821427477475307E+00
   6    0.981788506474069678E+00
   7    0.262926749206712351E+01
   8   -0.134906586438079867E+01
   9   -0.707076917311952213E+00
  10    0.213560705127974737E+01
  11    0.165794242475152775E+01
  12   -0.530682267996404056E+00
  13    0.298956574423731414E+00
  14    0.788804143159104632E+00
