Nested Sampling Global Log-Evidence           :   -0.889018592934371696E+02  +/-    0.913083442730218825E-01
Nested Importance Sampling Global Log-Evidence:   -0.919278552763859409E+02  +/-    0.757602222955691684E-01

Dim No.       Mean        Sigma
   1    0.188831294467102118E+00    0.369554687588906292E-01
   2    0.870576651189446382E+00    0.765473032192334757E-01
   3    0.226769863328074653E-01    0.190003147120456836E-02
   4    0.945070534547856722E+00    0.656340793893854663E-01
   5    0.722541644974456720E+00    0.474701417290358668E-01
   6    0.135698988604935761E+00    0.163899500083996945E-01
   7    0.699876134262299332E+00    0.325806028250903379E+00
   8    0.224992632836666651E-01    0.188657238363220303E-02
   9    0.968030815492978647E+00    0.703703411907060511E-01
  10    0.698128920820577092E+00    0.206539274833561042E-01
  11    0.873569784172630759E+00    0.317995253861178662E+00
  12    0.263511923684806515E+01    0.297889556006405043E+00
  13   -0.156975288473205132E+00    0.929248716739563996E+00
  14   -0.886037069366156560E+00    0.869845379509430194E+00
  15    0.152454512055104652E+01    0.844291136577378198E+00
  16    0.180650764354998405E+01    0.894394513159728732E+00
  17   -0.156979748163990251E+01    0.901141420874054355E+00
  18    0.410741232948847512E+00    0.860889208664865624E-01
  19    0.750883418366329658E+00    0.401420466767734088E-01
  20    0.325091276315729538E+00    0.214306832542432504E-01
  21    0.673138290912283055E+00    0.313659705351679918E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.248972008855974536E+00
   2    0.965166996970865276E+00
   3    0.223240185325678797E-01
   4    0.867191468544131761E+00
   5    0.680128145954754459E+00
   6    0.154780000863856460E+00
   7    0.556782754884965758E+00
   8    0.248320229417529001E-01
   9    0.956725056626256509E+00
  10    0.727198391800692012E+00
  11    0.128998942535196726E+01
  12    0.277291765722058958E+01
  13   -0.830198111228803937E+00
  14   -0.401837616588180158E+01
  15    0.381004980561869111E+01
  16    0.204932273029823797E+01
  17   -0.334812803711067630E+01
  18    0.587884295080867925E+00
  19    0.689609486981580755E+00
  20    0.340866479182137860E+00
  21    0.522415951299957104E+00

MAP Parameters
Dim No.        Parameter
   1    0.156066719415622362E+00
   2    0.854433405985909555E+00
   3    0.224828826294984525E-01
   4    0.940818044248639351E+00
   5    0.720409527600345045E+00
   6    0.111653366176997615E+00
   7    0.474436073549753257E+00
   8    0.232881995535470891E-01
   9    0.864564881083913495E+00
  10    0.678292227398928582E+00
  11    0.712481976238295900E+00
  12    0.235160461122084552E+01
  13   -0.181520367082097445E+01
  14   -0.584240158151625444E+00
  15   -0.649802062372528688E-02
  16    0.170708833742180555E+01
  17   -0.163215394803143710E+01
  18    0.345274045369121207E+00
  19    0.796557927634552909E+00
  20    0.294700051601906265E+00
  21    0.478735634372886021E+00
