Nested Sampling Global Log-Evidence           :   -0.923047077905113582E+02  +/-    0.942820170348872694E-01
Nested Importance Sampling Global Log-Evidence:   -0.950652283626198198E+02  +/-    0.106842708800148872E+00

Dim No.       Mean        Sigma
   1    0.210498733520507825E+00    0.000000000000000000E+00
   2    0.667949748039245561E+00    0.000000000000000000E+00
   3    0.247366654276847814E-01    0.000000000000000000E+00
   4    0.100049190282821665E+01    0.000000000000000000E+00
   5    0.723483294248580933E+00    0.000000000000000000E+00
   6    0.992776193618774422E-01    0.000000000000000000E+00
   7    0.359958481788635209E+00    0.000000000000000000E+00
   8    0.252361328005790697E-01    0.000000000000000000E+00
   9    0.101890757560729983E+01    0.000000000000000000E+00
  10    0.726840862035751378E+00    0.000000000000000000E+00
  11    0.284182119369506836E+01    0.000000000000000000E+00
  12    0.285979035139083848E+01    0.000000000000000000E+00
  13    0.144732241367828074E+01    0.000000000000000000E+00
  14    0.953476566850364471E-01    0.000000000000000000E+00
  15    0.135394195889578595E+01    0.000000000000000000E+00
  16    0.233215014453798197E+01    0.000000000000000000E+00
  17   -0.181420571257904539E+01    0.000000000000000000E+00
  18    0.450643641773060322E+00    0.000000000000000000E+00
  19    0.545196808752766993E+00    0.000000000000000000E+00
  20    0.236907907382452210E+00    0.000000000000000000E+00
  21    0.405158398869000014E+00    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.210498733520507825E+00
   2    0.667949748039245561E+00
   3    0.247366654276847814E-01
   4    0.100049190282821665E+01
   5    0.723483294248580933E+00
   6    0.992776193618774422E-01
   7    0.359958481788635209E+00
   8    0.252361328005790697E-01
   9    0.101890757560729983E+01
  10    0.726840862035751378E+00
  11    0.284182119369506836E+01
  12    0.285979035139083848E+01
  13    0.144732241367828074E+01
  14    0.953476566850364471E-01
  15    0.135394195889578595E+01
  16    0.233215014453798197E+01
  17   -0.181420571257904539E+01
  18    0.450643641773060322E+00
  19    0.545196808752766993E+00
  20    0.236907907382452210E+00
  21    0.405158398869000014E+00

MAP Parameters
Dim No.        Parameter
   1    0.210498733520507825E+00
   2    0.667949748039245561E+00
   3    0.247366654276847814E-01
   4    0.100049190282821665E+01
   5    0.723483294248580933E+00
   6    0.992776193618774422E-01
   7    0.359958481788635209E+00
   8    0.252361328005790697E-01
   9    0.101890757560729983E+01
  10    0.726840862035751378E+00
  11    0.284182119369506836E+01
  12    0.285979035139083848E+01
  13    0.144732241367828074E+01
  14    0.953476566850364471E-01
  15    0.135394195889578595E+01
  16    0.233215014453798197E+01
  17   -0.181420571257904539E+01
  18    0.450643641773060322E+00
  19    0.545196808752766993E+00
  20    0.236907907382452210E+00
  21    0.405158398869000014E+00
