Nested Sampling Global Log-Evidence           :   -0.102045850008323555E+03  +/-    0.133379534800505656E+00
Nested Importance Sampling Global Log-Evidence:   -0.105984135589211732E+03  +/-    0.305877672368821997E-01

Dim No.       Mean        Sigma
   1    0.116372347161187092E+00    0.570124193560366498E-02
   2    0.762677057324911756E+00    0.352066929355267511E-01
   3    0.228625093945875255E-01    0.191882315101854885E-02
   4    0.964730795143441289E+00    0.413943332480480510E-02
   5    0.719680147892240440E+00    0.497599283369120834E-01
   6    0.113089123855630622E+00    0.159135502687827047E-02
   7    0.695384094932683494E+00    0.337746580522084339E+00
   8    0.225477215353161523E-01    0.194507744927528833E-02
   9    0.970381297327267300E+00    0.738249431960588259E-01
  10    0.681299057159886923E+00    0.134880591011021424E-01
  11    0.866743594803818240E+00    0.348639101293257814E+00
  12    0.265256053452562357E+01    0.299795177161603477E+00
  13   -0.175304971781265556E+00    0.951143735236765653E+00
  14   -0.100925411768373263E+01    0.883876866662370753E+00
  15    0.146559801613820428E+01    0.864746173065823798E+00
  16    0.186216626431772880E+01    0.943849638717550898E+00
  17   -0.156258997301824332E+01    0.934582875688912518E+00
  18    0.273090577156874903E+00    0.334390930692832836E-01
  19    0.802285093155563400E+00    0.310564391677472969E-01
  20    0.293781759556094813E+00    0.896225608836566379E-02
  21    0.703034720107776900E+00    0.341672151864123863E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.113846155869468724E+00
   2    0.779358631216468867E+00
   3    0.238589249421504897E-01
   4    0.965696964379463285E+00
   5    0.674026991809096199E+00
   6    0.112625382004908486E+00
   7    0.115732263282877956E+01
   8    0.238987134582062874E-01
   9    0.912908201620016513E+00
  10    0.693348339191281915E+00
  11    0.134126186278149184E+01
  12    0.254728880748249464E+01
  13   -0.264803712653680901E+01
  14   -0.363400215586877895E+01
  15    0.142341750564925729E+01
  16    0.180496487245882298E+01
  17   -0.210424216102869588E+01
  18    0.304524422122650851E+00
  19    0.773652743476410332E+00
  20    0.285332065156679138E+00
  21    0.118685555823123501E+01

MAP Parameters
Dim No.        Parameter
   1    0.115940718460300490E+00
   2    0.772054710320647875E+00
   3    0.230152115013902113E-01
   4    0.964551030873554538E+00
   5    0.702217233645653915E+00
   6    0.115240943605113361E+00
   7    0.158915087662831800E+00
   8    0.247971578227930110E-01
   9    0.962816788567924520E+00
  10    0.689839815931379885E+00
  11    0.102305126762393073E+01
  12    0.306428438564557037E+01
  13   -0.529041436606408011E+00
  14    0.666517952646542011E+00
  15    0.234184387771142255E+01
  16    0.226375882071395562E+01
  17   -0.101759161264271469E+01
  18    0.283101816487712155E+00
  19    0.794888840600148305E+00
  20    0.295626085020672946E+00
  21    0.160109419692972210E+00
