Nested Sampling Global Log-Evidence           :   -0.100816521534221252E+03  +/-    0.129200231753044958E+00
Nested Importance Sampling Global Log-Evidence:   -0.102980961774273595E+03  +/-    0.441548574132296229E-01

Dim No.       Mean        Sigma
   1    0.116765406863246421E+00    0.179749283570319624E-02
   2    0.781193618997971129E+00    0.120148958995991983E-01
   3    0.237643975641510519E-01    0.159892899419487346E-02
   4    0.965233973674578971E+00    0.410553734557251877E-02
   5    0.695772573205337364E+00    0.102414233391209235E-01
   6    0.913402816966986331E+00    0.335700558108976588E+00
   7    0.261202390503808823E+01    0.304302495564412967E+00
   8   -0.242682661966304891E+00    0.964445091665101506E+00
   9   -0.102396644918544766E+01    0.893571371452863250E+00
  10    0.153288032318514533E+01    0.859346131656229861E+00
  11    0.198484906171764930E+01    0.920778036281989065E+00
  12   -0.150614364504178000E+01    0.950458678323018891E+00
  13    0.291668127108786313E+00    0.587006835040871765E-02
  14    0.792403187594022507E+00    0.629077057369646728E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.119411269217319954E+00
   2    0.782987156866906564E+00
   3    0.256266355347334780E-01
   4    0.965081993088773626E+00
   5    0.703472019555455907E+00
   6    0.104081691352183725E+01
   7    0.310657907079241369E+01
   8   -0.384038695316764045E+00
   9   -0.334961781203443820E+01
  10    0.176240132553891837E+01
  11    0.365853961628165347E+01
  12   -0.178894561116565676E+01
  13    0.294382751341462356E+00
  14    0.790538533630913420E+00

MAP Parameters
Dim No.        Parameter
   1    0.113549212212075645E+00
   2    0.766529035363451405E+00
   3    0.224059238515613608E-01
   4    0.969782698455004089E+00
   5    0.695201729187146844E+00
   6    0.843380077455373467E+00
   7    0.306174887525961426E+01
   8   -0.457152763564378561E+00
   9   -0.349635243717696775E+00
  10    0.180205166303576592E+01
  11    0.168306349978740721E+01
  12   -0.276705852980959532E+01
  13    0.282635491876933154E+00
  14    0.789851681167927033E+00
