Nested Sampling Global Log-Evidence           :   -0.919941083559671569E+02  +/-    0.940515768670531910E-01
Nested Importance Sampling Global Log-Evidence:   -0.934697254763460137E+02  +/-    0.320825798896041181E+00

Dim No.       Mean        Sigma
   1    0.119430453625885030E+00    0.000000000000000000E+00
   2    0.786585721812070648E+00    0.000000000000000000E+00
   3    0.242009448228852030E-01    0.000000000000000000E+00
   4    0.111323358331958791E+00    0.000000000000000000E+00
   5    0.697605182684910674E+00    0.000000000000000000E+00
   6    0.198645082713564854E-01    0.000000000000000000E+00
   7    0.952384042618645621E+00    0.000000000000000000E+00
   8    0.678599473350655069E+00    0.000000000000000000E+00
   9   -0.412771461575554000E-01    0.000000000000000000E+00
  10    0.269414341155354853E+01    0.000000000000000000E+00
  11   -0.221280494634469083E+00    0.000000000000000000E+00
  12    0.113304168865649135E+01    0.000000000000000000E+00
  13    0.131576665207061438E+01    0.000000000000000000E+00
  14    0.744257170302697557E+00    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.119430453625885030E+00
   2    0.786585721812070648E+00
   3    0.242009448228852030E-01
   4    0.111323358331958791E+00
   5    0.697605182684910674E+00
   6    0.198645082713564854E-01
   7    0.952384042618645621E+00
   8    0.678599473350655069E+00
   9   -0.412771461575554000E-01
  10    0.269414341155354853E+01
  11   -0.221280494634469083E+00
  12    0.113304168865649135E+01
  13    0.131576665207061438E+01
  14    0.744257170302697557E+00

MAP Parameters
Dim No.        Parameter
   1    0.119430453625885030E+00
   2    0.786585721812070648E+00
   3    0.242009448228852030E-01
   4    0.111323358331958791E+00
   5    0.697605182684910674E+00
   6    0.198645082713564854E-01
   7    0.952384042618645621E+00
   8    0.678599473350655069E+00
   9   -0.412771461575554000E-01
  10    0.269414341155354853E+01
  11   -0.221280494634469083E+00
  12    0.113304168865649135E+01
  13    0.131576665207061438E+01
  14    0.744257170302697557E+00
