Nested Sampling Global Log-Evidence           :   -0.891344004877359879E+02  +/-    0.904632862810154648E-01
Nested Importance Sampling Global Log-Evidence:   -0.910342208533950412E+02  +/-    0.356405267801095452E-01

Dim No.       Mean        Sigma
   1    0.127902858896501020E+00    0.204792622714197216E-01
   2    0.767817173036525302E+00    0.162384424260171890E-01
   3    0.226651619165020093E-01    0.193527515106035278E-02
   4    0.970407159879319248E+00    0.695994965375716229E-01
   5    0.693877687770847018E+00    0.243511140906794328E-01
   6    0.876292447807162866E+00    0.334062090225148267E+00
   7    0.264102750685859089E+01    0.300363267345068241E+00
   8   -0.218270572311396682E+00    0.919487702763372883E+00
   9   -0.977402053951515026E+00    0.889969141468074709E+00
  10    0.150494830051716022E+01    0.836380370769770787E+00
  11    0.189890680383648025E+01    0.917092306645417410E+00
  12   -0.155443211274294257E+01    0.912332956986730004E+00
  13    0.312546902243072078E+00    0.256949383543821006E-01
  14    0.754359118258249084E+00    0.364948296100002373E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.151858915957848756E+00
   2    0.759038824539221113E+00
   3    0.253134853069954951E-01
   4    0.940537310479774735E+00
   5    0.730703979045276730E+00
   6    0.119409564006728175E+01
   7    0.311084306617005613E+01
   8   -0.119353880800875967E+01
   9   -0.341865009721966739E+01
  10    0.176564364776472837E+01
  11    0.367363528201271405E+01
  12   -0.126391434980166584E+01
  13    0.333034483291259065E+00
  14    0.720508295829019096E+00

MAP Parameters
Dim No.        Parameter
   1    0.127288916013136966E+00
   2    0.792593700515178079E+00
   3    0.254410456638019707E-01
   4    0.975199498001343423E+00
   5    0.709749628103444108E+00
   6    0.844945330616276635E+00
   7    0.268966415901808187E+01
   8   -0.922507155848669047E+00
   9    0.124164316359588620E+00
  10    0.163406228550554800E+01
  11    0.185594028352370555E+01
  12   -0.158558582651628810E+01
  13    0.304468013144417571E+00
  14    0.786872907604559191E+00
