Nested Sampling Global Log-Evidence           :   -0.858661968915302793E+02  +/-    0.824533192187995589E-01
Nested Importance Sampling Global Log-Evidence:   -0.889915871109811292E+02  +/-    0.257190103170738676E-01

Dim No.       Mean        Sigma
   1    0.132103714532001509E+00    0.434947876725673699E-01
   2    0.902178921207865692E+00    0.159881519803582367E+00
   3    0.226007459289934431E-01    0.186591435937435643E-02
   4    0.956757284117993212E+00    0.671132136995573753E-01
   5    0.729530798519465451E+00    0.479959002702425794E-01
   6    0.960521934892173690E-01    0.125255592611090150E-01
   7    0.699313533615525063E+00    0.325750223794049887E+00
   8    0.227063800498994543E-01    0.186988204420143831E-02
   9    0.970365191962335949E+00    0.695099071754969045E-01
  10    0.737083332843866068E+00    0.367255652277047109E-01
  11    0.737420531690457848E+00    0.384358088853855862E+00
  12    0.259049491716848301E+01    0.293937804972767058E+00
  13   -0.109256158635716819E+00    0.899121490528541067E+00
  14   -0.937048541235081744E+00    0.887890597563263606E+00
  15    0.139479948452138136E+01    0.825814377991710979E+00
  16    0.178812483042105863E+01    0.887863930742039842E+00
  17   -0.159232821441533745E+01    0.890783122921809278E+00
  18    0.295981653293570235E+00    0.929410855988758444E-01
  19    0.920286908170906970E+00    0.834393607113747410E-01
  20    0.222130170468435639E+00    0.378537070925876462E-01
  21    0.820773745583583847E+00    0.388269403222975096E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.120280745358860380E+00
   2    0.864170320395269309E+00
   3    0.192192616831959318E-01
   4    0.897703728417536873E+00
   5    0.747210520972818371E+00
   6    0.971051486530205565E-01
   7    0.123915942217649877E+01
   8    0.227032706773869532E-01
   9    0.103068222595774284E+01
  10    0.735064264300397729E+00
  11    0.151990119786161770E+01
  12    0.245225725481480694E+01
  13   -0.178251860825508057E+01
  14   -0.330078412302825885E+01
  15    0.225481352839850757E+01
  16    0.405085022420914775E+01
  17   -0.342128054247543467E+01
  18    0.251008827711312998E+00
  19    0.944915846911306256E+00
  20    0.222928399456455623E+00
  21    0.143785760991953326E+01

MAP Parameters
Dim No.        Parameter
   1    0.171948680577139523E+00
   2    0.106241485546599868E+01
   3    0.244576498185796361E-01
   4    0.994735999744468913E+00
   5    0.657995633870777086E+00
   6    0.951909418480936798E-01
   7    0.934817733252121030E+00
   8    0.248368562018754652E-01
   9    0.895018945732587889E+00
  10    0.732195939101202398E+00
  11    0.769789652779127920E+00
  12    0.302481464516660381E+01
  13   -0.163307963760883412E+00
  14   -0.191155483900654621E+00
  15    0.287379717158458337E+00
  16    0.229827176142415901E+01
  17   -0.999530221859308288E+00
  18    0.455125787279300753E+00
  19    0.862842930237691652E+00
  20    0.225087636672450464E+00
  21    0.107941392415254023E+01
