Nested Sampling Global Log-Evidence           :   -0.858528215388170253E+02  +/-    0.838840932951975399E-01
Nested Importance Sampling Global Log-Evidence:   -0.873778491893043281E+02  +/-    0.863179559326326395E-01

Dim No.       Mean        Sigma
   1    0.958052080320291460E-01    0.132133413509613398E-01
   2    0.771723554984425464E+00    0.172137320127210905E-01
   3    0.225281177016566810E-01    0.193138438409740185E-02
   4    0.968256850507931865E+00    0.683857493004817463E-01
   5    0.734118797950468971E+00    0.376228203508181328E-01
   6    0.713625436638427812E+00    0.405877746610211587E+00
   7    0.262775410542646481E+01    0.297057522754526127E+00
   8   -0.170649087690273593E+00    0.913577828998452413E+00
   9   -0.926344367558266546E+00    0.919754749378135505E+00
  10    0.140826663122884277E+01    0.850161562670806892E+00
  11    0.177487066068513166E+01    0.910310277494248865E+00
  12   -0.157998417560677629E+01    0.912631540876037595E+00
  13    0.223304929640919553E+00    0.398663531185467698E-01
  14    0.905315528642468004E+00    0.838397814935059743E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.101162018289276248E+00
   2    0.785606118778326534E+00
   3    0.235726097237756518E-01
   4    0.912445017804393799E+00
   5    0.748483211428696116E+00
   6    0.129180013388263504E+01
   7    0.294846835533893881E+01
   8   -0.108895800095482453E+01
   9   -0.319230402764888943E+01
  10    0.951719425746334391E+00
  11    0.401240497231532522E+01
  12   -0.233225555388336225E+01
  13    0.223799883894332613E+00
  14    0.909742876878851803E+00

MAP Parameters
Dim No.        Parameter
   1    0.111178218984447547E+00
   2    0.782323389910455802E+00
   3    0.242524752433056871E-01
   4    0.101242565058308509E+01
   5    0.741778055198134112E+00
   6    0.563331282470596051E+00
   7    0.205693964556638198E+01
   8   -0.118198843696657097E+01
   9   -0.290371527166529475E+00
  10    0.138045483239936306E+01
  11    0.162540608710341328E+01
  12   -0.552381751991319669E+00
  13    0.247303258576638735E+00
  14    0.861851201115846122E+00
