Nested Sampling Global Log-Evidence           :   -0.834271389627746203E+02  +/-    0.771624142455014095E-01
Nested Importance Sampling Global Log-Evidence:   -0.864804837580214496E+02  +/-    0.721827114452027324E-01

Dim No.       Mean        Sigma
   1    0.158081736970980297E+00    0.455439580674508321E-01
   2    0.779189249538527640E+00    0.138594489268436621E+00
   3    0.225016460886104455E-01    0.184180664257688133E-02
   4    0.970765835305768876E+00    0.672287157728609780E-01
   5    0.730576334928705218E+00    0.478457191446425359E-01
   6    0.151183323837930622E+00    0.398702626322006010E-01
   7    0.718874587813871035E+00    0.309616028600055215E+00
   8    0.225485245737805200E-01    0.183609207402260738E-02
   9    0.969943851233675547E+00    0.691214797055185459E-01
  10    0.728912400535431271E+00    0.474879219709030617E-01
  11    0.843617808962096594E+00    0.317986623376156130E+00
  12    0.265885895355880519E+01    0.284880428465862978E+00
  13   -0.172868229538298446E+00    0.871424998841728748E+00
  14   -0.890376285644458698E+00    0.849326201629735600E+00
  15    0.148276042102180083E+01    0.808015898601226246E+00
  16    0.180271604482938508E+01    0.853080800377420401E+00
  17   -0.158692900694476058E+01    0.849690624921345172E+00
  18    0.343989460091809141E+00    0.980427373249779660E-01
  19    0.740519306218703321E+00    0.112818163530870236E+00
  20    0.330261050271921541E+00    0.791456998708859744E-01
  21    0.698650755141413393E+00    0.312789073218194436E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.123101412223344947E+00
   2    0.779300936589119364E+00
   3    0.236691655003848575E-01
   4    0.102024146944197192E+01
   5    0.669439311197615239E+00
   6    0.126927297924742083E+00
   7    0.447171025320890037E+00
   8    0.211626606863086555E-01
   9    0.962101487844058356E+00
  10    0.688580048035626224E+00
  11    0.110046155378466270E+01
  12    0.309890184545229985E+01
  13   -0.953695954291587600E+00
  14   -0.434531409218478526E+01
  15    0.214989598549274774E+01
  16    0.260198637745815287E+01
  17   -0.161191998933166558E+01
  18    0.328941304037766891E+00
  19    0.744342142616332358E+00
  20    0.313690715316675250E+00
  21    0.437364865543906856E+00

MAP Parameters
Dim No.        Parameter
   1    0.671180358928939735E-01
   2    0.495217100287881018E+00
   3    0.200832875884225520E-01
   4    0.101670822491495594E+01
   5    0.775362108154259100E+00
   6    0.153184760021780747E+00
   7    0.114421510767799917E+01
   8    0.238159653092312254E-01
   9    0.105954697664966013E+01
  10    0.718911807206534026E+00
  11    0.767614063707505956E+00
  12    0.239757995928526979E+01
  13   -0.118814465586024132E+01
  14   -0.137525460789930554E+00
  15    0.341023291611506463E+00
  16    0.203594485231692301E+01
  17   -0.176027376858100904E+01
  18    0.146120170990632292E+00
  19    0.709672790000552389E+00
  20    0.343717319519605380E+00
  21    0.106917585970686102E+01
