Nested Sampling Global Log-Evidence           :   -0.897170019641443304E+02  +/-    0.777468167058413956E-01
Nested Importance Sampling Global Log-Evidence:   -0.925014056103955937E+02  +/-    0.148099421848447294E+00

Dim No.       Mean        Sigma
   1    0.182450547968633497E+00    0.391753247223380965E-01
   2    0.855899379472754518E+00    0.805924258993886283E-01
   3    0.226040428307753283E-01    0.186919295336970327E-02
   4    0.946952123172396520E+00    0.645132140691051792E-01
   5    0.724690979394335244E+00    0.474079105294154604E-01
   6    0.128620220660223245E+00    0.160853746588925858E-01
   7    0.706476560632819384E+00    0.322599362963132519E+00
   8    0.225738566422357331E-01    0.187683749626717895E-02
   9    0.970087610747230045E+00    0.699342865569093780E-01
  10    0.693377404222001337E+00    0.200248802057687823E-01
  11    0.465468633196125248E-01    0.318447429943476568E+01
  12    0.256959806570810212E+01    0.299579675160152548E+00
  13    0.342107409003192031E+00    0.868128970412617496E+00
  14   -0.284995897351414063E+00    0.837215279136210855E+00
  15    0.156047701759466562E+01    0.830873967544781933E+00
  16    0.154810870565545122E+01    0.880670865852853146E+00
  17   -0.163371158406523342E+01    0.875035142691819035E+00
  18    0.396648027361342248E+00    0.919237952658828322E-01
  19    0.752951596979800963E+00    0.427347300882632841E-01
  20    0.315007470867655903E+00    0.217673321557579867E-01
  21    0.690386744879407765E+00    0.315641398937358097E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.197496870906026439E+00
   2    0.888223912158956574E+00
   3    0.216031688548928742E-01
   4    0.860615991607468378E+00
   5    0.718225756617958733E+00
   6    0.128160426395261318E+00
   7    0.120975725735919881E+01
   8    0.208610804544319406E-01
   9    0.882787637645782830E+00
  10    0.682740072719967395E+00
  11   -0.581895407183539870E+01
  12    0.305667827172761797E+01
  13    0.247847241599714474E+01
  14   -0.895920877146983097E+00
  15    0.220725776314729139E+01
  16    0.191106183379380345E+01
  17   -0.414749810960020060E+01
  18    0.425986093781859476E+00
  19    0.745602920063532237E+00
  20    0.321078575126346799E+00
  21    0.116949904999906940E+01

MAP Parameters
Dim No.        Parameter
   1    0.225139419985878747E+00
   2    0.877654175823164073E+00
   3    0.229104085008966056E-01
   4    0.882374672380481395E+00
   5    0.681809103261228788E+00
   6    0.156476477506119205E+00
   7    0.344604787232399512E+00
   8    0.234919970387062055E-01
   9    0.951050025219184803E+00
  10    0.719000718974049491E+00
  11    0.306334016202849746E+01
  12    0.301320456602493802E+01
  13    0.132604638868410785E+01
  14    0.257961547476928121E+00
  15    0.114422466425124325E+01
  16    0.130758901010837802E+01
  17   -0.211041458638242707E+01
  18    0.534982596788736831E+00
  19    0.657364494665498289E+00
  20    0.349373065349471212E+00
  21    0.319373899813039874E+00
