Nested Sampling Global Log-Evidence           :   -0.924237267046225952E+02  +/-    0.796079897543347653E-01
Nested Importance Sampling Global Log-Evidence:   -0.951364333589606161E+02  +/-    0.191192089247351787E+00

Dim No.       Mean        Sigma
   1    0.162103166255995523E+00    0.393295219372882532E-01
   2    0.849206215372582007E+00    0.911310382825214205E-01
   3    0.225291218023417721E-01    0.188060035562843736E-02
   4    0.958783321681034306E+00    0.669237559585860037E-01
   5    0.716948182034444215E+00    0.474151963016330932E-01
   6    0.115331615739637267E+00    0.956648404526430803E-02
   7    0.708381983148833272E+00    0.325779028771584156E+00
   8    0.228597256575911595E-01    0.187965912527365549E-02
   9    0.970381354459099121E+00    0.703241796847492995E-01
  10    0.683795286934306135E+00    0.173313003709395508E-01
  11   -0.123537127206327039E-01    0.323096397225211041E+01
  12    0.259732327561192822E+01    0.298065793993983363E+00
  13    0.330735083961033460E+00    0.877313468699004839E+00
  14   -0.305960061751192613E+00    0.844131470346436541E+00
  15    0.150446510422895718E+01    0.837288889209136133E+00
  16    0.156720464535588788E+01    0.895607193793699796E+00
  17   -0.161280340007085399E+01    0.871851632032696555E+00
  18    0.365547354661786839E+00    0.929178259402153733E-01
  19    0.778577213162659598E+00    0.372303305567225282E-01
  20    0.296635995442812272E+00    0.141541050359094544E-01
  21    0.713292880091769721E+00    0.328804951394560951E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.119394437923420305E+00
   2    0.785426694277867599E+00
   3    0.203067451886836878E-01
   4    0.910389433918592839E+00
   5    0.659398468575451924E+00
   6    0.103104240025630844E+00
   7    0.597393447685236167E+00
   8    0.219829385118478320E-01
   9    0.920217501274333660E+00
  10    0.669578010629559905E+00
  11   -0.268298786712035042E+01
  12    0.301980443339605298E+01
  13    0.620628055070088669E+00
  14   -0.271963887896961554E+01
  15    0.194613543109792264E+01
  16    0.137600795837893797E+01
  17   -0.565943517809637697E+01
  18    0.322776615674373935E+00
  19    0.757293012903375251E+00
  20    0.280440730966785956E+00
  21    0.617957520493287005E+00

MAP Parameters
Dim No.        Parameter
   1    0.196438896083627940E+00
   2    0.105493111093620495E+01
   3    0.255666936962908736E-01
   4    0.939467909951743785E+00
   5    0.660550951257092622E+00
   6    0.104578525474902664E+00
   7    0.794953039416567142E+00
   8    0.219861696381014465E-01
   9    0.100075948357210631E+01
  10    0.661312820408553659E+00
  11    0.555814737361929900E+01
  12    0.227776292411654557E+01
  13    0.139618897096229599E+00
  14    0.106477848906381622E+00
  15    0.363515305191980520E+01
  16    0.242850199662595845E+01
  17   -0.268581645795629331E+01
  18    0.510281143111140145E+00
  19    0.809069128335332288E+00
  20    0.290872978055617903E+00
  21    0.807455440446876671E+00
