Nested Sampling Global Log-Evidence           :   -0.855049394178873996E+02  +/-    0.709655210643936885E-01
Nested Importance Sampling Global Log-Evidence:   -0.884709355583610773E+02  +/-    0.324646964154384696E-01

Dim No.       Mean        Sigma
   1    0.119295853370353325E+00    0.418250049465890006E-01
   2    0.873303596550821459E+00    0.159073411356353528E+00
   3    0.225886763421478294E-01    0.185782047847559361E-02
   4    0.952971313734097492E+00    0.661354068853208105E-01
   5    0.733272198474619219E+00    0.469673815949890883E-01
   6    0.912577483185596505E-01    0.115767345660052409E-01
   7    0.704124566906326299E+00    0.317874813371768428E+00
   8    0.225869372774572981E-01    0.182814339026406473E-02
   9    0.968685829862790504E+00    0.694225345782762959E-01
  10    0.748368329192373949E+00    0.349164098702259770E-01
  11   -0.144150803233829283E-01    0.321486967183998340E+01
  12    0.255432824555370042E+01    0.295061423265051637E+00
  13    0.218023045506232555E+00    0.874596651050925100E+00
  14   -0.487941887249219775E+00    0.829280661586739409E+00
  15    0.142838768320667220E+01    0.821912209460112453E+00
  16    0.158152231425698941E+01    0.874497429151200989E+00
  17   -0.165192535986725209E+01    0.858374481937753897E+00
  18    0.268584129825924278E+00    0.868635671277444149E-01
  19    0.935139165263103256E+00    0.826336401587281361E-01
  20    0.206361946121516704E+00    0.337166918473802701E-01
  21    0.857615927160654268E+00    0.394832220792269151E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.633156973796897005E-01
   2    0.656540304461183277E+00
   3    0.201617907941434998E-01
   4    0.968792452442844620E+00
   5    0.790163111181460542E+00
   6    0.833381024226817479E-01
   7    0.695718791173769668E+00
   8    0.211089600877726567E-01
   9    0.924458252269775960E+00
  10    0.753627814128338791E+00
  11    0.152092625932822045E+01
  12    0.232542641315233567E+01
  13    0.897965178838054379E+00
  14   -0.325491183994083544E+01
  15    0.179164852415315923E+01
  16    0.444118508906105181E+01
  17   -0.314661236888671070E+01
  18    0.134733051872903103E+00
  19    0.979813647189693104E+00
  20    0.185034413299113076E+00
  21    0.886027910716446487E+00

MAP Parameters
Dim No.        Parameter
   1    0.150043525146534046E+00
   2    0.108889480147028195E+01
   3    0.237274909697205091E-01
   4    0.918121179015863764E+00
   5    0.702871796849780961E+00
   6    0.789929532613014296E-01
   7    0.110510606580204840E+01
   8    0.193312602946448392E-01
   9    0.963973189457607238E+00
  10    0.733454707693059538E+00
  11   -0.345900431247419871E+01
  12    0.212725698780811534E+01
  13   -0.180941057096368318E+01
  14   -0.144732605991302399E+01
  15    0.459994911229703485E+00
  16    0.205229555987398804E+01
  17   -0.401398044887436911E+00
  18    0.353046553460275525E+00
  19    0.100388882939894808E+01
  20    0.183971151428239249E+00
  21    0.141132392162768805E+01
