Nested Sampling Global Log-Evidence           :   -0.268037605265386247E+01  +/-    0.404820800152043345E-01
Nested Importance Sampling Global Log-Evidence:   -0.334830283917254201E+01  +/-    0.520150848974517029E-02

Dim No.       Mean        Sigma
   1    0.891891915949656056E-01    0.153326324057683778E-01
   2    0.691844896225595751E+00    0.344344169850631099E+00
   3    0.225041381021286596E-01    0.200576758894327120E-02
   4    0.969272596381132612E+00    0.751828307222203313E-01
   5    0.752101336173815693E+00    0.406746877410286145E-01
   6    0.201726285622272322E+00    0.441177504527800260E-01
   7    0.857266755502867572E+00    0.436930803584514360E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.887771298205388415E-01
   2    0.230030718186646554E+00
   3    0.226661490520699699E-01
   4    0.934179893246954829E+00
   5    0.758950051506387613E+00
   6    0.194594455978551184E+00
   7    0.285522339783119583E+00

MAP Parameters
Dim No.        Parameter
   1    0.106046953472181196E+00
   2    0.973821648396071993E+00
   3    0.253763947188616890E-01
   4    0.977015568417723412E+00
   5    0.725460228470512503E+00
   6    0.250939303296908223E+00
   7    0.106458214765863479E+01
